articleID,title,html_content,URL
74416,Contents of the Assassin's Creed: Syndicate Season Pass,"<div>The Season Pass offers access to additional content for <em>Assassin&#39;s Creed: Syndicate</em>.</div>
<div> </div>
<div>Owners of the Season Pass will get <strong>access </strong>to: </div>
<div style=""margin-left: 40px;""><br>500 Helix Credits</div>
<div style=""margin-left: 40px;"">A Long Night mission</div>
<div style=""margin-left: 40px;"">
<div>Jack The Ripper campaign</div>
Permanent XP boost<br>Steampunk Pack</div>
<div style=""margin-left: 40px;"">The Last Maharaja Mission Pack</div>
<div style=""margin-left: 40px;"">The Streets of London Pack</div>
<div style=""margin-left: 40px;"">Victorian Legends Pack</div>
<div style=""margin-left: 40px;""> </div>
<div>The Season Pass is included with multiple <a href=""https://www.ubisoft.com/help/article/000064719"" target=""_blank"">editions</a> of <em>Assassin&#39;s Creed: Syndicate</em>.</div>
<div> </div>
<div>You can <strong>locate</strong> the contents of your Season Pass in several places in-game after <strong>completing</strong> Sequence 3. </div>",https://www.ubisoft.com/help/game/article/title/000074416
97885,Linking your YouTube and Ubisoft accounts,"<div>To <strong>link</strong> your <a href=""https://account.ubisoft.com/"" target=""_blank"">Ubisoft account</a> to your <a href=""https://www.youtube.com/account"" target=""_blank"">YouTube account</a>:<br><br></div>
<div>
<div style=""margin-left: 40px;"">•  On YouTube, go to the <a href=""https://www.youtube.com/account_sharing"" target=""_blank"">Connected apps</a>.</div>
<div style=""margin-left: 40px;"">•  Locate Ubisoft account and select <em>Connect</em>.</div>
<div style=""margin-left: 40px;"">•  In the prompt message, select <em>Connect</em> again.<em><br></em></div>
<div style=""margin-left: 40px;"">•  Log in with your <a href=""https://account.ubisoft.com/"" target=""_blank"">Ubisoft account</a>.<br>•  Select <em>Allow.</em></div>
</div>
<div> </div>
<div>
<div>
<div>You can <a href=""https://www.ubisoft.com/help/article/000096879"" target=""_blank"">unlink</a> your YouTube account from your Ubisoft account at any time by going to your <a href=""https://www.youtube.com/account_sharing"" target=""_blank"">Connected apps</a>, and selecting <em>Connected</em> then <em>Disconnect</em>.</div>
</div>
</div>",https://www.ubisoft.com/help/game/article/title/000097885
80266,Unlocking Ubisoft Connect Rewards for legacy games,"<div>Some older Ubisoft titles no longer receive patch updates, and may be unavailable on the <a href=""https://ubisoftconnect.com/"" target=""_blank"">Ubisoft Connect</a> webpage.</div>
<div> </div>
<div>For these titles, all Ubisoft Connect Rewards will be <strong>unlocked</strong> when you launch the game for the first time:</div>
<div style=""margin-left: 40px;""><br><table style=""border-collapse: collapse;width: 100%;height: 324px;"" border=""1""><tbody><tr><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;"">
<div>
<div>
<div><em>Anno 2070</em></div>
</div>
</div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>Might &amp; Magic: Heroes VII</em></td></tr><tr><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;"">
<div><em>Anno 2205</em></div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>Monopoly Plus</em></td></tr><tr><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;"">
<div><em>Anno 1800</em></div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>Just Dance 2019</em></td></tr><tr><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>Assassin&#39;s Creed: Revelations</em></td><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>Just Dance 2020</em></td></tr><tr><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>Assassin’s Creed 4: Black Flag</em></td><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>Rocksmith 2014 Remastered Edition</em></td></tr><tr><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>Assassin’s Creed: Odyssey</em></td><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>South Park: The Fractured But Whole</em></td></tr><tr><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>Assassin’s Creed: Origins</em></td><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>South Park: The Stick of Truth</em></td></tr><tr><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>Assassin’s Creed: Syndicate</em></td><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>Starlink: Battle for Atlas</em></td></tr><tr><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>Assassin’s Creed: Unity</em></td><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>Tetris Ultimate</em></td></tr><tr><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>Child of Light</em></td><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>The Crew</em></td></tr><tr><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>Far Cry 4</em></td><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>The Crew 2</em></td></tr><tr><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>Far Cry 5</em></td><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>The Division</em></td></tr><tr><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>Far Cry Primal</em></td><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>The Settlers 7</em></td></tr><tr><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>Ghost Recon: Wildlands</em></td><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>Watch Dogs</em></td></tr><tr><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>Might &amp; Magic: Heroes VI</em></td><td colspan=""1"" rowspan=""1"" style=""width: 50%;height: 18px;text-align: center;""><em>Watch Dogs 2</em></td></tr></tbody></table>
</div>
<div>
<div> </div>
</div>
<div>
<div>Please note that this is not a complete list of legacy titles affected. If the <a class=""external-link"" href=""https://www.ubisoft.com/help/article/000064576"" target=""_blank"">online services</a> for the game have been <a class=""external-link"" href=""https://www.ubisoft.com/help/article/000064576"" target=""_blank"">decommissioned</a>, rewards may no longer be accessible.</div>
<div> </div>
<div>In Ubisoft Connect, you can see your statistics and the leaderboards for some legacy games. Classic challenges have been disabled and are not visible.</div>
</div>",https://www.ubisoft.com/help/game/article/title/000080266
80333,Error code 17008 in Ubisoft Connect,"If you receive this error, there are a few workarounds which you can try:<div style=""margin-left: 40px;""><br>• Run Ubisoft Connect with <a href=""https://support.ubi.com/faqs/000025662"" target=""_blank""><u>administrator rights</u></a>.<br>• <a href=""https://support.ubi.com/faqs/000025799/"" target=""_blank""><u>Reinstall</u></a> Ubisoft Connect.<br>• If your game has been activated on the Epic Games Launcher, close Ubisoft Connect and re-download the game from the Epic Games Launcher.</div><br>If you are still having trouble, or if you have any other questions, please <a href=""http://support.ubi.com/Cases/new?method=email"" target=""_blank""><u>get in touch</u></a>!",https://www.ubisoft.com/help/game/article/title/000080333
105788,Decommissioning of online services for older Ubisoft games (January 2024),"<div>Decommissioning the online services for <strong>older games</strong> is something we do not take lightly, however, it is also a necessity as the technology behind these services becomes outdated.</div>
<div> </div>
<div>As a result, we will <a href=""https://www.ubisoft.com/help/article/000064576"" target=""_blank"">decommission the online services</a> of several games across different platforms on <strong>25 January 2024</strong>.</div>
<div> </div>
<div>Below you will find a detailed breakdown of the effects from this round of decommissions, per platform:</div>
<div> </div>
<table style=""width: 100%;height: 1017px;"" width=""100%""><tbody><tr style=""height: 18px;""><th colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 18px;"">
<div><strong>Game name</strong></div>
</th><th colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 18px;"">
<div><strong>Platform</strong></div>
</th><th colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 18px;"">
<div><strong>Changes to functionality</strong></div>
</th></tr><tr style=""height: 109px;""><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div><em>Assassin&#39;s Creed II</em> </div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div> </div>
<br><div>Xbox 360 </div>
<br><div> </div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div>You will be unable to play multiplayer, link Ubisoft accounts in-game or use online features. <br> <br>Additionally, the <a href=""https://ubisoftconnect.com/games/"" target=""_blank"">Ubisoft Connect rewards</a> will be unavailable.</div>
</td></tr><tr style=""height: 109px;""><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div><em>Assassin&#39;s Creed Brotherhood</em> </div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div>MAC </div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div>You will be unable to play multiplayer, link Ubisoft accounts in-game or use online features. </div>
<div> </div>
<div>Additionally, the <a href=""https://ubisoftconnect.com/games/"" target=""_blank"">Ubisoft Connect rewards</a> will be unavailable.</div>
</td></tr><tr style=""height: 109px;""><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div><em>Assassin’s Creed Liberation HD</em> </div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div>PlayStation 3 </div>
<br><div>Xbox 360 </div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div>You will be unable to play multiplayer, link Ubisoft accounts in-game or use online features. </div>
<div> </div>
<div>Additionally, the <a href=""https://ubisoftconnect.com/games/"" target=""_blank"">Ubisoft Connect rewards</a> will be unavailable.</div>
</td></tr><tr style=""height: 109px;""><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div><em>Assassin’s Creed Revelations</em> </div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div>PC </div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div>You will be unable to play multiplayer, link Ubisoft accounts in-game or use online features. </div>
<div> </div>
<div>Additionally, the <a href=""https://ubisoftconnect.com/games/"" target=""_blank"">Ubisoft Connect rewards</a> will be unavailable.</div>
</td></tr><tr style=""height: 109px;""><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div><em>Ghost Recon Future Soldier</em> </div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div>PC </div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div>You will be unable to play multiplayer, link Ubisoft accounts in-game or use online features. </div>
<div> </div>
<div>Additionally, the <a href=""https://ubisoftconnect.com/games/"" target=""_blank"">Ubisoft Connect rewards</a> will be unavailable.</div>
</td></tr><tr style=""height: 109px;""><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div><em>Heroes of Might and Magic VI</em></div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div>PC</div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div>You will be unable to play multiplayer, link Ubisoft accounts in-game or use online features. </div>
<div> </div>
<div>Additionally, the <a href=""https://ubisoftconnect.com/games/"" target=""_blank"">Ubisoft Connect rewards</a> will be unavailable.</div>
</td></tr><tr style=""height: 109px;""><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div><em>NCSI</em></div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div>PC</div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div>You will be unable to play multiplayer, link Ubisoft accounts in-game or use online features. </div>
<div> </div>
<div>Additionally, the <a href=""https://ubisoftconnect.com/games/"" target=""_blank"">Ubisoft Connect rewards</a> will be unavailable.</div>
</td></tr><tr style=""height: 109px;""><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div><em>Splinter Cell: Conviction</em> </div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div>Xbox 360 </div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div>You will be unable to play multiplayer, link Ubisoft accounts in-game or use online features. </div>
<div> </div>
<div>Additionally, the <a href=""https://ubisoftconnect.com/games/"" target=""_blank"">Ubisoft Connect rewards</a> will be unavailable.</div>
</td></tr><tr style=""height: 18px;""><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 18px;"">
<div><em>R.U.S.E.</em></div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 18px;"">
<div>PC</div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 18px;"">
<div>
<div>You will be unable to play multiplayer, link Ubisoft accounts in-game or use online features. </div>
<div> </div>
<div>Additionally, the <a href=""https://ubisoftconnect.com/games/"" target=""_blank"">Ubisoft Connect rewards</a> will be unavailable.</div>
</div>
</td></tr><tr style=""height: 109px;""><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div><em>Trials Evolution</em> </div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div>PC </div>
</td><td colspan=""1"" rowspan=""1"" style=""width: 33.333%;height: 109px;"">
<div>You will be unable to play multiplayer, link Ubisoft accounts in-game or use online features. </div>
<div> </div>
<div>Additionally, the <a href=""https://ubisoftconnect.com/games/"" target=""_blank"">Ubisoft Connect rewards</a> will be unavailable.</div>
</td></tr></tbody></table>",https://www.ubisoft.com/help/game/article/title/000105788
99331,Reporting a bug in Ubisoft games,"<div>We encourage you to <strong>report</strong> issues to in order to help us better understand the needs of our community.</div>
<div> </div>
<div>To report a bug, you will need the following information:</div>
<div style=""margin-left: 40px;""> </div>
<div style=""margin-left: 40px;"">An overview of the steps taking to reach the bug.</div>
<div style=""margin-left: 40px;"">The <strong>expected</strong> behaviour of the game at this time.</div>
<div style=""margin-left: 40px;"">Steps needed to reproduce the issue.</div>
<div style=""margin-left: 40px;"">A workaround if you manage to find a way around the issue.</div>
<div style=""margin-left: 40px;"">Additional information such as images or videos.</div>
<div><br>A selection of Ubisoft titles have dedicated bug reporting tools that you can use:</div>
<div style=""margin-left: 40px;""> </div>
<div style=""margin-left: 40px;""><a href=""https://forhonor.ubisoft.com/bugreporter/en-us/"" target=""_blank""><em>For Honor</em></a></div>
<div style=""margin-left: 40px;""><a href=""https://r6fix.ubi.com/"" target=""_blank""><em>Rainbow Six</em> <em>Siege</em></a></div>
<div><br>If you wish to report a bug for any of these games, please use the available tool.</div>
<div> </div>
<div>To report a bug in other Ubisoft games, please <a href=""https://www.ubisoft.com/help/contact"" target=""_blank"">contact us</a>.</div>",https://www.ubisoft.com/help/game/article/title/000099331
63620,System requirements for Starlink: Battle for Atlas,"<div><strong>Minimum requirements (1080p at 30 <a href=""https://www.ubisoft.com/help/article/000062726"" target=""_blank"">frames per second</a>)</strong> </div>
<div style=""margin-left: 40px;""><strong>Operating system </strong>Windows 10 (64-bit versions)<br><strong>Processor</strong> AMD FX-6350 @ 3.9 GHz, Intel Core i5-2500K @ 3.3 GHz, or better<br><strong>RAM</strong> 8 GB RAM<br><strong>Video Card</strong> AMD Radeon HD 7850 (2 GB), NVIDIA GeForce GTX 660 (2 GB), or better<br><strong>Hard Drive </strong>23 GB available storage<br><strong>DirectX version</strong> DirectX 11 </div>
<div><br><strong>Recommended requirements (1080p at 60 frames per second)</strong> </div>
<div style=""margin-left: 40px;""><strong>Operating System</strong> Windows 10 (64-bit versions)<br><strong>Processor</strong> AMD FX-8350 @ 4.0 GHz, Intel Core i5-4590 @ 3.3 GHz, or better</div>
<div style=""margin-left: 40px;""><strong>RAM</strong> 8 GB RAM (running dual-channel mode)<br><strong>Video card</strong> AMD Radeon R9 290X (4 GB), NVIDIA GeForce GTX 970 (4 GB), or better</div>
<div style=""margin-left: 40px;""><strong>Hard Drive </strong>23 GB available storage<br><strong>DirectX version</strong> DirectX 11 <br><br></div>
<div>Laptop models of video cards <a href=""https://www.ubisoft.com/help/article/000081045"" target=""_blank"">may work</a>, as long as their performance is similar to the minimum requirements.<br><br></div>
<div>There are also <a href=""https://www.ubisoft.com/help/article/000062773"" target=""_blank"">recommendations</a> available for playing the game at higher resolutions.</div>",https://www.ubisoft.com/help/game/article/title/000063620
102641,Niflheim currencies in Assassin's Creed Valhalla,"<div><em><a href=""https://www.ubisoft.com/help/article/000102656"" target=""_blank"">The Forgotten Saga</a></em> introduces a range of resources that can be found in Niflheim: </div>
<div> </div>
<div style=""margin-left: 40px;""><strong>Coins</strong></div>
<div style=""margin-left: 40px;"">You can use Coins with the <strong>merchants</strong> you encounter during your run, but will be <strong>lost</strong> if you die or if you <a href=""https://www.ubisoft.com/help/article/000102628"" target=""_blank"">abandon</a> it.</div>
<div style=""margin-left: 40px;""> </div>
<div style=""margin-left: 40px;""><strong>Dreams</strong> </div>
<div style=""margin-left: 40px;"">Dreams can be used to craft items at <strong>Everold&#39;s workshop</strong> in Ravensthorpe.</div>
<div style=""margin-left: 40px;"">It is the only resource you are able to take back into the real world. </div>
<div style=""margin-left: 40px;""> </div>
<div style=""margin-left: 40px;""><strong>Gems</strong></div>
<div style=""margin-left: 40px;"">You can use Gems with <strong>some</strong> merchants during your run, but will be <strong>lost</strong> if you die or if you <a href=""https://www.ubisoft.com/help/article/000102628"" target=""_blank"">abandon</a> it.</div>
<div style=""margin-left: 40px;""> </div>
<div style=""margin-left: 40px;""><strong>Memories</strong></div>
<div style=""margin-left: 40px;"">Can be used in Odin&#39;s Camp to purchase <strong>Favors</strong> and <strong>Skills</strong>.</div>
<div style=""margin-left: 40px;"">Memories will <strong>carry over</strong> between runs.</div>
<div style=""margin-left: 40px;""> </div>
<div style=""margin-left: 40px;""><strong>Thoughts</strong></div>
<div style=""margin-left: 40px;"">Can be used in Odin&#39;s Camp at the beginning of each run to buy <strong>Favors</strong> or upgrade your <a href=""https://www.ubisoft.com/help/article/000102629"" target=""_blank"">outfits</a>.</div>
<div style=""margin-left: 40px;"">Thoughts will <strong>carry over</strong> between runs.</div>",https://www.ubisoft.com/help/game/article/title/000102641
103618,Keeping your Stadia save files for Ubisoft games,"<div>Following the <a href=""https://blog.google/products/stadia/message-on-stadia-streaming-strategy/"" target=""_blank"">shutdown</a> of Stadia on <strong>18 January 2023</strong>, you will be able to continue playing your <strong>existing saved games</strong> on any Ubisoft game which supports <a href=""https://www.ubisoft.com/help/article/000061177"" target=""_blank"">cross-progression</a>.</div>
<div> </div>
<div>Your progress will transfer <strong>automatically</strong> for most games through your Ubisoft Connect account. However, you will need to transfer your saved games <strong>manually</strong> for some games before Stadia shuts down. </div>
<div> </div>
<div>To continue playing with your existing save files, you need to log into the <strong>same</strong> <a href=""https://account.ubisoft.com/"" target=""_blank"">Ubisoft account</a> on the platform you wish to continue playing on. </div>
<div> </div>
<div>
<div>You will be able to <strong>automatically</strong> continue playing these games if you own them on any other platform the game is available on:</div>
<div> </div>
<div style=""margin-left: 40px;""><em><a href=""https://www.ubisoft.com/help/article/000079360"" target=""_blank"">Assassin&#39;s Creed Valhalla</a></em></div>
<div style=""margin-left: 40px;""><em>Discovery Tour: Viking Age</em></div>
<div style=""margin-left: 40px;""><em><a href=""https://www.ubisoft.com/help/article/000097916"" target=""_blank"">Riders Republic</a></em></div>
<div style=""margin-left: 40px;""><em><a href=""https://www.ubisoft.com/help/article/000100547"" target=""_blank"">Rainbow Six Extraction</a></em></div>
<div style=""margin-left: 40px;""><a href=""https://www.ubisoft.com/help/article/000103419"" target=""_blank""><em>Rainbow Six Siege</em></a></div>
<div style=""margin-left: 40px;""><em><a href=""https://www.ubisoft.com/help/article/000064956"" target=""_blank"">The Division</a></em><a href=""https://www.ubisoft.com/help/article/000064956"" target=""_blank""> 2</a>*</div>
</div>
<div>
<div> </div>
<div>To continue playing these games, you will need to <strong>transfer </strong>your save files <strong>manually</strong> by<strong> 18 January 2023</strong>, using specific instructions for each game:</div>
<div style=""margin-left: 40px;""> </div>
<div style=""margin-left: 40px;""><em><a href=""https://www.ubisoft.com/help/article/000099032"" target=""_blank"">Far Cry 6</a></em></div>
<div style=""margin-left: 40px;""><em><a href=""https://www.ubisoft.com/help/article/000093953"" target=""_blank"">Immortals Fenyx Rising</a></em></div>
<div style=""margin-left: 40px;""><em><a href=""https://www.ubisoft.com/help/article/000079216"" target=""_blank"">Watch Dogs: Legion</a></em>**</div>
</div>
<div> </div>
<div>
<div>* <em>Please note that it is only possible to transfer your saved games for The Division 2 from Stadia to PC. </em></div>
<div> </div>
<div>** <em>Cross-progression is available between platforms in the <a href=""https://www.ubisoft.com/help/article/000100369"" target=""_blank"">same family of consoles</a> for the single-player campaign and the Bloodline story expansion. Your save files need to be transferred <a href=""https://www.ubisoft.com/help/article/000079229"" target=""_blank"">manually</a>. </em></div>
<div><em>Your progress for Online Mode is available automatically on any other platforms Watch Dogs: Legion is available on.</em></div>
</div>",https://www.ubisoft.com/help/game/article/title/000103618
62697,Location of Secrets of the First Pyramids,"<div>To <strong>unlock</strong> the Secrets of the First Pyramids quest, you will first need to<strong> complete </strong>the quest A Meeting with Pompey The Great.</div>
<div> </div>
<div>Secrets of the First Pyramids will then appear in your <strong>quest log</strong>.</div>
<div> </div>
<div>To <strong>start</strong> this quest, travel to Saqqara Nome and speak to Merkes.</div>",https://www.ubisoft.com/help/game/article/title/000062697
